review_id,product_id,brand,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
RTLA4BSYTVDXW,B01CQOV3YO,DOSS,1.0 out of 5 stars Sound quality is lacking.,Bob,1,"The build quality of this unit is very good. However, the sound presentation is very much lacking. My garage radio has better sound quality than this unit. Read more","Reviewed in the United States January 9, 2025",AF6HHQ4MLMO7A26QRT5QOPTPN3HQ,FALSE,0,{}
R261JPWOR8SMHQ,B01CQOV3YO,DOSS,5.0 out of 5 stars Customer Service is GREAT,Jim Rollins,5,"I had a problem with my player and it was replaced under warranty without any hassle. I called got a great representative that took care of me and I had a new unit within days. The player is great with one exception, it does not play randomly, plays the songs in order on the disk when using the micro mini disk to hold your music. Read more","Reviewed in the United States January 8, 2025",AF4FFCQJGCBDXYWZIAOL4Y6J64NA,FALSE,0,{}
R78L5493ANQZ2,B01CQOV3YO,DOSS,5.0 out of 5 stars Has worked perfectly for a year,Jeff,5,"It’s small but is loud enough for where I use it. It could get loud enough to annoy my neighbors, as I live in an apartment, but I’m not an … and haven’t found out for sure. Use it at tailgates, cookouts, etc., gets the job done and lasts a couple to few hours. Read more","Reviewed in the United States January 7, 2025",AGF55WAYNM4Z7CELSAYIQPQIORIQ,FALSE,0,{}
R10H7FXGP9CE81,B01CQOV3YO,DOSS,5.0 out of 5 stars best speaker ever,Kirkpatrick House,5,5 stars Read more,"Reviewed in the United States January 5, 2025",AEXLJT2DTCMSC6NKBLCCNJMFYWUQ,FALSE,0,{}
R2ERP05SNTZ1A0,B01CQOV3YO,DOSS,1.0 out of 5 stars Bluetooth connection stutters a lot !!,salute_to_veterans,1,"Audio quality is not great, similar to small radios. Dynamic range not great either. Hard to get volume adjusted to sweet spot where it's not brassy - too loud or not too whisper soft. Worst defect is that it intermittently - constantly loses the bluetooth connection even when phone is right next to it and battery is 90%. (Phone streams to other devices perfectly.) It's like a CD player that skips. Maddening! Recipe for insanity. Bought two based on reviews. Returned both for refund. Read more","Reviewed in the United States January 5, 2025",AECICTTHRI6EAGQAAZZLGNI4IOAQ,FALSE,1,{}
R9WNS0VWZ922A,B01CQOV3YO,DOSS,5.0 out of 5 stars Very good sound,S Cal,5,I bought this speaker in 2017. It still has great sound. Loud enough to hear as I go from room to room. Love it. Read more,"Reviewed in the United States January 4, 2025",AHSRQYOYSQ6BPZISYFZ456JB7QWQ,FALSE,0,{}
R1V4YU7UG5BRPG,B01CQOV3YO,DOSS,5.0 out of 5 stars lasted 2 years and a house fire lol,louise parsons,5,"i loved this speaker because of how easy it was to use, the fact that it was decently water resistant (it survived the turrential downpour that was them trying to put a house fire out LOL, though it did begin to have issues after that, but still lasted another 6 months), and the sound quality was really good. i loved how easy it was to connect to bluetooth and i appreciated overall simplicity of the functions Read more","Reviewed in the United States January 3, 2025",AGFD74XRGGFXMUO3LF4PBTB4KVJQ,FALSE,0,{}
R6SMN1H161UXG,B01CQOV3YO,DOSS,"2.0 out of 5 stars Looks great, sound is another story.",Lpskyyy,2,Cute speaker. Seems well made on the outside. Works. But the sound is NOT GOOD! Sounds like it is in a cardboard box. Do not recommend. Read more,"Reviewed in the United States December 31, 2024",AFB4NMOE5F33PA7WUQCKEXS3UNNQ,FALSE,0,{}
R3C2GZX10UEJ8A,B01CQOV3YO,DOSS,4.0 out of 5 stars Good sound,Peter Browne,4,"Manageable size, good sound, easy to set-up. Works with the TV remote. Read more","Reviewed in the United States December 31, 2024",AEX7ECSK3PHB2G5TYIOUYUPVVHCA,FALSE,0,{}
R3DFI21QXS5K6F,B01CQOV3YO,DOSS,2.0 out of 5 stars Cute Color. But not very happy.,NY,2,"Two major issues.1. If I move my cellphone with my music app more than 5 feet away, it starts to give static sound. Also, even if I'm right by the speaker with the cell phone, if I start to use other apps, it gives static sound to the music.2. When I get a call and pick up while music is playing from the app on my phone, I have an issue. After the call, when I start to play the music again and try to connect Bluetooth from my cell phone, the speaker had already been turned off after like 5 minutes of inactivity. So, I have to go over to the speaker, touch the back of the speaker to find the tiny little power button to turn on the power again.Bass could have been better, but it is not so bad. It has pretty good bass compared to playing music on the cellphone. But the sound overall isn't very clear--it sort of have the closed sound. Read more","Reviewed in the United States December 31, 2024",AGN62JKJYALHK634T7QEM4WGVKZQ,FALSE,0,{}
R3OZ99W19X0HI,B01CQOV3YO,DOSS,5.0 out of 5 stars Great quality,JstRchsn,5,"I have one for home and one for work. Nice little speakers, connect easy to laptop or phone, and charge lasts a good while. Read more","Reviewed in the United States December 30, 2024",AG7PN25HKADV5JUUE7K2WKSPR4GA,FALSE,0,{}
R33SYZX6GLBSOU,B01CQOV3YO,DOSS,5.0 out of 5 stars Very good sound quality for tv shows,Fang Jin,5,"I have bought this speaker maybe 2021, and used it pretty much every day. High quality and especially good for tv shows and youtube videos. Read more","Reviewed in the United States December 29, 2024",AELCZTY7SZN2TC42KMKR3CG3ZL2A,FALSE,0,{}
R3RXUSZC5QBHLQ,B01CQOV3YO,DOSS,5.0 out of 5 stars 6.5 years old and still going strong,Amazon Customer,5,"Bought 1 in June 2018, and still going, sound is great, never had an issue, has great battery life and range Read more","Reviewed in the United States December 29, 2024",AET4ZYY3TRUOA2227R7X7KZ2DFYQ,FALSE,0,{}
RTHF8T5B7YA8T,B01CQOV3YO,DOSS,5.0 out of 5 stars Speakers,Gayle H Victory MD(TM)LMT#5397,5,"These work great. I use them at home and work. Quality, durability and clear sound. Read more","Reviewed in the United States December 26, 2024",AHLDXYAMNR5XBEZMFALAQ4R7XLHQ,FALSE,0,{}
RCFTLV1U0FEUK,B01CQOV3YO,DOSS,5.0 out of 5 stars great sound!,penny23,5,this speaker is inexpensive and sounds like a JBL or a bose speaker. it sounds very clear and gets pretty loud. it also looks cute on a bookshelf or desk. easy to use and connects via bluetooth easily. Read more,"Reviewed in the United States December 24, 2024",AGJCY2LOHJDJTE3UZNZNCV6IYHVQ,FALSE,2,{}
R2YIBRIF8YDJ5M,B01CQOV3YO,DOSS,5.0 out of 5 stars Perfect to use anywhere!!!,Amazon Customer,5,"Bought this initially because I don't have a radio that works in my car any more! I hate silence, so I starting researching. I LOVE this speaker! Incredible sound, compact size, take it with me for background music at meetings, relaxing out in the yard, my granddaughters microphone for her singing, so much more. Can change channels, easy volume up and down, it is perfect. Easy to pair with your phone or tablet, I would recommend! Read more","Reviewed in the United States December 24, 2024",AEC6HRKSVVPEXFQLHHWK6JQWENFA,FALSE,0,{}
R1Y2RSRPOX3G79,B01CQOV3YO,DOSS,5.0 out of 5 stars Satisfacción,alvaro ordaz,5,Excelente Read more,"Reviewed in the United States December 24, 2024",AGI6PWV47TEXC6KOHUOQNCU7XHGA,FALSE,0,{}
R2O1DYVYUB667R,B01CQOV3YO,DOSS,5.0 out of 5 stars Love it!,Jesus Garcia,5,For the price it's amazing! Read more,"Reviewed in the United States December 24, 2024",AF5OU42ZER4KVQRI5TCTDK2SAB3A,FALSE,0,{}
R2YW5GWC5S3P7S,B01CQOV3YO,DOSS,5.0 out of 5 stars Pairs with my iPhone and PC easily and it's LOUD.,Y2J,5,"Really easy to pair, good audio quality, great volume and lasts nearly a whole day of continuous play. My only issue is the buttons on top being too sensitive when I'm carrying the speaker, which isn't often. Thumbs up, thanks. Read more","Reviewed in the United States December 22, 2024",AGGBDX75A3LWKBVF6GEHTCPUEHZA,FALSE,0,{}
RKAVJOE173CM5,B01CQOV3YO,DOSS,5.0 out of 5 stars Big sound that goes a long way.,Spicey V,5,"I was a tad bit worried buying this small speaker system. It quickly erased all my concerns. The blue tooth connects quicker than any other device I have and this ""small"" speaker system broadcast clear music halfway across my two acre yard. My neighbors might give it a bad rating because I like to blast 80's metal from it but it is an A Plus 100 in my book. Read more","Reviewed in the United States December 21, 2024",AGHYGP4XM5UOIIYSYQQJXPUKSKXQ,FALSE,0,{}
R3UO8YIEGVPVSX,B01CQOV3YO,DOSS,4.0 out of 5 stars Bluetooth speaker,Made Birdie!,4,Easy to set up. Nice sound quality. Read more,"Reviewed in the United States December 21, 2024",AFNGHZBENBBLFSN5QYI42HFT7N2Q,FALSE,0,{}
R34721WX1SHZN5,B01CQOV3YO,DOSS,5.0 out of 5 stars I love it,Tiff Annie,5,Very nice quality Read more,"Reviewed in the United States December 20, 2024",AH4OBYX352E73MX2CCNNIKR3O62Q,FALSE,0,{}
R2YOY8C3V0WIIQ,B01CQOV3YO,DOSS,5.0 out of 5 stars Liked it so much I bought two more for gifts,Steve Watrous,5,"I contacted customer support for instructions to disable auto shut down and to enable song shuffle. I received a return email within a couple hours requesting I send them product info and directions on how to obtain such info. The directions were clear and precise. After sending them the info they once again responded within a couple of hours and once again the directions were complete, clear and precise. I would rate sound quality at good, volume control excellent, volume level range excellent, support superb and battery life unbelievable. It's been playing a SD card on shuffle at average volume for over 20 hours and is still going. Read more","Reviewed in the United States December 19, 2024",AFW3RIJNCOLRDQA5454HBNKZQZKA,FALSE,0,{}
RL6CZDB1X9WAZ,B01CQOV3YO,DOSS,1.0 out of 5 stars Frustration!,Denver,1,There is a button on the back of the unit for on and off..duh! But it takes 3-4 times to shut the unit down after holding the button down!!! I literally took the unit and smashed it on the floor ! There should be no reason for the frustration it turning the unit OFF!! Read more,"Reviewed in the United States December 19, 2024",AHSNWTKVIQLVTC4WN6F2I3GRIEEQ,FALSE,1,{}
R1Z617O1KJH7R7,B01CQOV3YO,DOSS,4.0 out of 5 stars It gets the job done for a good price,sharpimage,4,"I’m happy with the purchase. Easy Bluetooth connection. Decent audio quality, but if you’re seeking excellent sound you’ll need to spend money and buy Bose or Sonos. Read more","Reviewed in the United States December 19, 2024",AH26BKDJBRGNP6QO2FX2U7D7QZ5A,FALSE,0,{}
R25ROF78VY56MZ,B01CQOV3YO,DOSS,5.0 out of 5 stars I’ve been using this speaker for years and it’s still going strong,Merrick Young,5,"Sound quality is pretty good, holds a good charge, reliable, convenient Read more","Reviewed in the United States December 19, 2024",AH3I5QDWPXVYTJSB47BV2GB3POIA,FALSE,0,{}
R21C2WU3HQ5UH,B01CQOV3YO,DOSS,5.0 out of 5 stars Rock on!,Christie Caron,5,My daughter loved it!!! ❤️ I bought it for her as a gift 🎁 Read more,"Reviewed in the United States December 14, 2024",AHQPWNYR6J5EPHBXTCYQ7VC4A6FA,FALSE,0,{}
R22WDDF77MM6DV,B01CQOV3YO,DOSS,2.0 out of 5 stars SHUTS DOWN,Robert,2,Unit shuts down when inactive for a few minutes. Very aggravating that you have to turn it back on several times in a day. Would not recommend. Read more,"Reviewed in the United States December 12, 2024",AHUICRJB2LLOQNEUZKCPOHV73AWA,FALSE,0,{}
R3IMMYG6KSGTPO,B01CQOV3YO,DOSS,2.0 out of 5 stars Size Great but buttons are hard to control sound,Paul Trevino,2,Loved the look but the volume control is hard to control. Kept turning it down but it would go up and vise versa. Other than that good sound and size Read more,"Reviewed in the United States December 6, 2024",AHKYR6VFFPR4465ZBZ5WXC6OUTUA,FALSE,0,{}
R36DSEMOHDAGEB,B01CQOV3YO,DOSS,2.0 out of 5 stars Doss Bluetooth speaker,Amazon Customer,2,Expected better sound performance volume and clarity. Read more,"Reviewed in the United States December 6, 2024",AGIRLF4TBL2IRTXQ4J2WNQQMEPKA,FALSE,0,{}
R3T63V1DPPVYX1,B01CQOV3YO,DOSS,"5.0 out of 5 stars Works Well, Reliable",William Braun,5,"I have had this unit for three or four years. It is well designed, easy to use, delivers good sound across all frequencies out of the box. This is not an audiophile speaker, but it gets the job done. I would buy another one of the same if needed. Read more","Reviewed in the United States December 6, 2024",AHN6VAEIDHIW5KWDXZ3YCWJTKGVA,FALSE,7,{}
R1FXSNOVT31AZS,B01CQOV3YO,DOSS,5.0 out of 5 stars Sounds great!,A. Strouhal,5,"Sounds is great, value for the $, connects every time. Read more","Reviewed in the United States December 5, 2024",AER4CEKEEOHJ4L4W2L2ZI22RJ7CQ,FALSE,0,{}
RXLQUJY0DGZ6V,B01CQOV3YO,DOSS,4.0 out of 5 stars Easy Installation.,Dan,4,Speaker worked well with simple installation. Read more,"Reviewed in the United States December 5, 2024",AH55NZQ36BCGIUKYXY4UAW2HMCWQ,FALSE,0,{}
R13WUF896DG4A5,B01CQOV3YO,DOSS,5.0 out of 5 stars For its size it’s just OK,"Works very well for small yards, if you were packed with leaves, you’ll have to recharge the battery maybe more than you would like and if you want an extra battery well look out here goes your pocketbook, but it has plenty of power. Let me tell you so you have to just get used to recharging the battery or splurge and by a second battery for heavy jobs but for a small yard it’s awesome. I like the variable speed on the trigger a lot and it’s not overly loud at all overall it’s great purchase in comparisons to others.",5,"I played different music through it on the Bluetooth. It’s very nicely built. There’s no argument there. I just needed something on the table because sometimes the phone calls with my hearing disabilities. I needed some loudness. I could not get out of my iPhone. They’re notorious for a little teeny weenie speakers When the Samsung’s are really loud, but I have hearing difficulties so I bought this box and it functions well it’s darn you’re completely waterproof well constructed it looks really nice on the table and for those with normal hearing I guess it sounds OK but if you’re hearing challenged, this is also a nice little unit, Read more","Reviewed in the United States December 4, 2024",AEBNUEI3FOUINIUOZCCT6U227JGA,FALSE,1,{}
RK7HM0X5ECJPJ,B01CQOV3YO,DOSS,3.0 out of 5 stars Ok,Maddy,3,"It works fine. The quality of the sound isn’t great, but what do you want for $20???! Read more","Reviewed in the United States December 4, 2024",AFXX7H4UNN7NFHD6GK7CAK36YS3A,FALSE,0,{}
