review_id,product_id,brand,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R16X27QVDPDFD0,B01MTB55WH,anker,3.0 out of 5 stars Great Speaker but not long life span,Kerry Deloach,3,I’ve had this Anker speaker for about 2 years now. It’s been my absolute favorite speaker. I’ve loved it even more than brand new ones. Yesterday it just out of no where stopped working. I’ve charged it up all day & the blue light blinks on no sound comes out anymore. My husband and I have done everything possibly we could try to get it back working but no luck and no I don’t see how the speakers could have blown because it was not even being used (far as sound being disturbed through it when it stopped working). I guess we will just have to throw it out but I’m very sad as it’s not a cheap speaker and I have absolutely loved it for the last 2 years. Read more,"Reviewed in the United States January 10, 2025",AHLFEEHGEO22HD5VRVIIP5XMFNFQ,FALSE,0,{}
R3IDO0FW84II24,B01MTB55WH,anker,1.0 out of 5 stars NOT Compatible with Anker/Soundcore App,Courtney,1,This specific model is not compatible with the Soundcore app. Wish I’d known before purchasing but I’ll most definitely be returning. Read more,"Reviewed in the United States January 9, 2025",AGA76ONGMGTPZ4NGMZ5UDWODMLHQ,FALSE,0,{}
R25XTXP6HZ5DLZ,B01MTB55WH,anker,5.0 out of 5 stars Used it snowboarding,Gloria,5,My daughter bought this for her boyfriend. He uses it in his backpack while he snowboards. The sound is great and it is portable. Fun! Read more,"Reviewed in the United States January 9, 2025",AHRWMKJNFCNTWRME3RW4G34J3XPA,FALSE,0,{}
R19P3FU5DOT34J,B01MTB55WH,anker,3.0 out of 5 stars Just ok,Mattie M.,3,"I got this for $27 after Amazon informed me of a recall on the previous model. If you also pay $27, it's a good speaker, but it's worse in several ways than the previous one. It doesn't get as loud, the battery doesn't last as long, and it has an auto shut off that is very annoying. The speaker takes a good 10 seconds to actually start working after connecting, and mutes for a second after unpausing something.The only things that seem improved are *very* slightly better sound quality, that horrific blue light is gone, and it's a better charging port. Which is good, since you'll be plugging it in more frequently.If you have not experienced the previous model, you'll probably like this one. I would never pay full price ($45) for it, though. Read more","Reviewed in the United States January 9, 2025",AEPRQURRMEMJ263KIB35G25SM5TQ,FALSE,0,{}
RLO89XA5TTF05,B01MTB55WH,anker,1.0 out of 5 stars Doesn’t work with app,James leddy,1,Speaker doesn’t connect to sound core app Read more,"Reviewed in the United States January 9, 2025",AE2TNWX7CB53AU3G5RWVNNUHGUGQ,FALSE,0,{}
RSOT32JXAVNH9,B01MTB55WH,anker,5.0 out of 5 stars Great bluetooth,Mandy,5,Great sound for a good price! Read more,"Reviewed in the United States January 8, 2025",AEVR5AJFKM3GBXRTHWAUH7YZH7QQ,FALSE,0,{}
R3J9XHO09LP5QP,B01MTB55WH,anker,5.0 out of 5 stars Great sound,D. R. Wilmoth,5,Love this speaker. Bought 6 to give away at Christmas. Love it Read more,"Reviewed in the United States January 8, 2025",AHM6DZYCD5EKHEUL23SONI6CYLOA,FALSE,0,{}
R2X4M2HCZL5Z6Z,B01MTB55WH,anker,3.0 out of 5 stars not loud enough,ng,3,"not loud enough. maybe I didn't understand 12w power. think 20w is a minimum for options of sound. if outside, better go 40w. got a JBL flip 5 that works good. it's 20w. for 70$ Read more","Reviewed in the United States January 8, 2025",AHNY5U2B3XUEXST6VHVOUQNZ75MQ,FALSE,0,{}
R1V5DC0TL3QPLW,B01MTB55WH,anker,5.0 out of 5 stars Small Speaker Packs A Big Sound!,Dr. R,5,"Great, affordable speaker that sounds like my Bose II bluetooth speakers. Read more","Reviewed in the United States January 8, 2025",AF7VNFQOGPUUFW5GACNZPQF7GNKQ,FALSE,0,{}
R19UPY98U7J3Y9,B01MTB55WH,anker,5.0 out of 5 stars Excellent sound quality!!!,Dustin Singhas,5,"Definitely a good Bluetooth speaker! Easy to connect to phones, excellent sound quality, very durable, worth the money! A full charge can last for several hours depending on how long u use it! Read more","Reviewed in the United States January 8, 2025",AGSRH254GIXJP4Q5EO5QNNGPJTXQ,FALSE,0,{}
RI56TQFRZ6W4X,B01MTB55WH,anker,4.0 out of 5 stars One Sided Sound,Nick,4,Good sound quality and battery life. Only thing is the speaker is only on one side so you need to position it a certain way to get the most out of it Read more,"Reviewed in the United States January 8, 2025",AHW5DU7DKILDHAAXFYS5Z4Y6QD7Q,FALSE,0,{}
R1VIOAR8YZZKD2,B01MTB55WH,anker,5.0 out of 5 stars Best little speaker on market,Todd M.,5,"Long battery life, strong Bluetooth connection, fantastic sound for the size and price. I’ll be buying their products again in future Read more","Reviewed in the United States January 7, 2025",AHVLZXOO3RXVKZNI3BKVCXF3CVFQ,FALSE,0,{}
R1XZF2AEM5A7KT,B01MTB55WH,anker,"1.0 out of 5 stars Good sound, but latency make it unusable",Fernando,1,"The media could not be loaded. I intended to use the Anker Soundcore 2 speaker with my electronic drumkit, I connected the audio output of my drumkit to the Aux input of the Soundcore 2 speaker, the sound is good but it has a noticeable and unbearable delay (latency) of several miliseconds, you can hear it in the attached video.I contacted Anker's support and they offered to send me a replacement unit that, according to them, this time should work fine, Their offer came with two conditions: I had to send my unit back to them for review and inspection, and I had to tolerate a different color on the replacement unit, because they don't have stock units in the color that I like. I didn't trust them enough, so I refused their offer. I am extremely disappointed and not pleased at all with this product's performance.I do not recommend Anker Soundcore 2 speaker for latency-free use, either via Aux input or Bluetooth. Read more","Reviewed in the United States January 7, 2025",AERXIMTNRQMJDAPTTD4HWDOH3KQA,FALSE,0,{}
R1MORI7K5SGVGX,B01MTB55WH,anker,3.0 out of 5 stars Recalled Please Beware,Brad D. Hubbard,3,This was working great for several months and then Anker sent out a recall with the basic message of 'this battery my cause a fire.' So there is that. Read more,"Reviewed in the United States January 7, 2025",AGY4TTEXS4A3MZVTGKZT4OVAAGJQ,FALSE,0,{}
R2QZQM2BSXN3YC,B01MTB55WH,anker,2.0 out of 5 stars Audio Delay,Patric Hiehle,2,There is a 1-2 second audio delay when a video is played. Read more,"Reviewed in the United States January 7, 2025",AE6NMRR7TULANLNXUUZKKUPHIXSA,FALSE,0,{}
R12KL998P47YJO,B01MTB55WH,anker,5.0 out of 5 stars Shower Music,Joe E Kennerson,5,She absolutely loves this item! It’s very convenient and she doesn’t bring her cellphone or iPad into the warm humid powder room anymore. Read more,"Reviewed in the United States January 7, 2025",AH57ADFWS64ZDTLGMKQE7ORMDWHA,FALSE,0,{}
RJ9Q8IED6LCAL,B01MTB55WH,anker,1.0 out of 5 stars DANGEROUS!!!,rjd2030,1,Do not buy this product. It has been recalled by the vendor as a fire hazard. Neither Anker nor Amazon will do anything to protect you from its dangers. DO NOT PURCHASE. Read more,"Reviewed in the United States January 7, 2025",AE55OH3E63BXGHME3NJLXCUBTJ4A,FALSE,0,{}
R2CHLXTFP2T14S,B01MTB55WH,anker,5.0 out of 5 stars Impressive Sound Quality,DJT,5,Easy to setup and really surprising sound quality for such a small footprint. Read more,"Reviewed in the United States January 7, 2025",AEVSNXY6LRZ43WKS462UFVBCKNUQ,FALSE,0,{}
R26E23Z0SBFNXM,B01MTB55WH,anker,5.0 out of 5 stars Good sound,Mike,5,Easy to use and durable Read more,"Reviewed in the United States January 7, 2025",AFX6O3HF25DTZFJXWRPZVKEYEW3A,FALSE,0,{}
R20G5RI6P051TT,B01MTB55WH,anker,5.0 out of 5 stars Great for what I needed,John,5,"Great sound, easy connection. Perfect for my back porch Read more","Reviewed in the United States January 7, 2025",AHJHGNU5KZWSWBQJGK2AS2MFEUVQ,FALSE,0,{}
