review_id,product_id,product_name,brand,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes,date,review length,polarity,subjectivity,sentiment
r2lvx0omhfzx0l,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars sounds great,hollywoody,5,i just sent back my jbl flip because it had distortion at specific frequencies. this baby sounds great at all frequencies. read more,"reviewed in the united states january 9, 2025",ahcsv6wlxxa2exlwomlmb2fzbkeq,False,0,{},1/9/2025,23,0.325,0.34375,Positive
r1vf3bhpt5c61n,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars jbl,michael,5,they are a great value. the sound is awesome. read more,"reviewed in the united states january 8, 2025",ahuwzoal676robbd7srer6kyjbka,False,0,{},1/8/2025,11,0.675,0.6625,Positive
r2yfcrsc298ts7,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars i love it!,william g.,5,"the sound quality is amazing, it’s easy to pair. i love it! read more","reviewed in the united states january 8, 2025",agy6hyebnuxqxea7gpozyzrry3fq,False,0,{},1/8/2025,14,0.5116666666666667,0.6466666666666667,Positive
r1dkvihxe9rzus,b0d4sx9rc6,beats pill,beats by dre,2.0 out of 5 stars must me rejects from a real quality batch,lady b,2,this speaker must have come from failed quality control. as a toll collector i need my music . the volume is not 100 watts! the battery is not what they claim!1. started charging at 11 am on a tuesday and removed from charger before work at 5 am wed battery 90% such bs . the tribit speaker last longer for less than over 50%! read more,"reviewed in the united states january 8, 2025",ah3zdvkgdobn2oi6ch5wlvmn3jma,False,0,{},1/8/2025,66,-0.06666666666666665,0.2866666666666667,Neutral
rlruivaagz3en,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars a gift for my dad,jacky k.,5,sound quality is good. it can get pretty loud without losing on sound quality.it was a gift for my dad. he liked the gift read more,"reviewed in the united states january 8, 2025",afyjoku2nxnz5qcvtjcrgjbfuiva,False,0,{},1/8/2025,26,0.42142857142857143,0.6428571428571429,Positive
r3gcepckhto9xw,b0d4sx9rc6,beats pill,beats by dre,3.0 out of 5 stars the item was damaged,wedding bliss,3,"the beat pill arrived with a noticeable bend and some dirt on it. i decided to order a replacement, which came in perfect condition. read more","reviewed in the united states january 8, 2025",afzqic6s33z5qqrnuq6sul32znuq,False,0,{},1/8/2025,26,0.75,0.75,Positive
r1ouei8r8tz5ve,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars my favorite portable speaker!,stephanie,5,i absolutely love this speaker. we bought two one for me and one for my daughter it plays music loud and clear. it connects through bluetooth very easy read more,"reviewed in the united states january 7, 2025",aejrikvi25lj3fbplae5ss4cowja,False,0,{},1/7/2025,30,0.35266666666666663,0.6566666666666666,Positive
r3109a6lx1x1am,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars great speaker,aj,5,"it has great sound quality, is so easy to carry and put in a backpack, i flew easily and was able to travel with it no problem. it fills a room but does distort slightly at max volume so i would keep it at 75% maximum for best sound. battery also shortens at louder volumes, i've found it to last around 1 week with moderate use, but def not the 24 hours as promised. the bass is good but it sounds the best only with a wall behind it or on a flat surface pointing outwards. the controls are kinda annoying, as pairing new devices was kinda a hassle. overall a great purchase. read more","reviewed in the united states january 7, 2025",afstc3vppdmjgj6twwnojodflara,False,0,{},1/7/2025,115,0.26482683982683985,0.5192640692640693,Positive
rvnb9uh1t6vze,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars beat speaker,triston spreitzer,5,i feel like this is a really good product. people say this doesn’t sound good as a bluetooth speaker to me. it definitely sounds good when you’re playing music or i use it for gaming and it just sounds good and i can locate it if case get stolen. read more,"reviewed in the united states january 6, 2025",af6f6vunne7egre3sm4xukvb74xq,False,0,{},1/6/2025,51,0.5285714285714286,0.5428571428571429,Positive
r2cx7ouuxnk57e,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars great sound,lisa vanalstyne,5,perfect size and great sound! read more,"reviewed in the united states january 6, 2025",afls3sf2e37eqgayxxqqpkogb73a,False,0,{},1/6/2025,7,0.7,0.6625,Positive
r1fyhdi1eefzys,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars excelente producto,raquel,5,tremendo sonido read more,"reviewed in the united states january 5, 2025",agyclm6psjfzbfsc2hopwc2it44a,False,0,{},1/5/2025,4,0.5,0.5,Positive
r2ys1zek1x1ojg,b0d4sx9rc6,beats pill,beats by dre,4.0 out of 5 stars turning off is a learning process.,james sayre,4,sound is solid. thought maybe more volume for the buck. had cheaper with similar sound volume maybe not clarity. read more,"reviewed in the united states january 5, 2025",aevjydeaciw5h2w55lllwk3pn62a,False,0,{},1/5/2025,21,0.3,0.3833333333333333,Positive
r2qs8r9wn7b748,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars definitely an upgrade,cameron colyette,5,"i still have the previous gen beats pill, i have had it for over 7yrs. considering that this pill was for $99 i pulled the trigger on this one. and on a side by side comparison, this pill is twice as loud. the lows, mids, and highs are 5/5 compared to the previous generation. i have had jbl speakers previously too, however after a few months to a year they couldn’t hold a charge. so i stuck with beats, seeing that i still have my 7yr old one that’s still kicking. read more","reviewed in the united states january 5, 2025",afztk2xzduaxxlug3npv6tacikua,False,0,{},1/5/2025,93,0.0,0.3,Neutral
r2hr9j5fpe57wc,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars delivered quick,james hatfield,5,"i bought this for my wife, she uses daily. works great, easy to pair and sounds great. read more","reviewed in the united states january 5, 2025",ahgb4hfyz75dtsxo74a67vofvd6q,False,0,{},1/5/2025,19,0.5066666666666666,0.5666666666666667,Positive
r6n76x99konpz,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars it's all about the sound.,dodger town,5,"the booming sound that comes out of this speaker is amazing. when i have this playing in my living room the sound fills the house like a stereo system.i bought this speaker because my anker speaker was getting interference sometimes. that may be because i was streaming music from my phone. regardless, now i stream music from my ipad to the beats pill and there's never been any interference. plus the sound quality of the beats pill is way better than the anker speaker. also, there's recently been a recall of the anker speaker. read more","reviewed in the united states january 5, 2025",afsid347mneo7bb4fds7g5wfxfoq,False,0,{},1/5/2025,96,0.39999999999999997,0.4785714285714286,Positive
r3kfbooly0etlg,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars the pill is the cure,melissa,5,this little guy looks like it has no sound but boy was i wrong it’s perfect for easy listening and showering my son loves it. it’s not overwhelming to each his own i say try it what’s the worst that could happen. free return read more,"reviewed in the united states january 4, 2025",ah3s42qnx72jds7ta3n3coi7hdpa,False,0,{},1/4/2025,46,0.07958333333333334,0.7933333333333332,Neutral
r1790tpuxd2imi,b0d4sx9rc6,beats pill,beats by dre,5.0 out of 5 stars great speaker,ian macdonald,5,great sound. great connection with apple products. read more,"reviewed in the united states january 4, 2025",ahiqofxopklx5ksahpu5nebwrpwa,False,0,{},1/4/2025,9,0.625,0.6,Positive
